Component,Source,Link (URL),Price,Extra Costs (Shipping),Already Have?,Add
1. Frame & Structure (2020 T-Slot Aluminum),,,,,,
250mm Extrusions: 4 units (Base frame side and cross members).,Aliexpress,https://www.aliexpress.us/item/3256808366074196.html?src=google&pdp_npi=4%40dis%21USD%2114.74%217.38%21%21%21%21%21%40%2112000045678685196%21ppc%21%21%21&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk&plac&mtctp&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&albagn=888888&ds_e_adid&ds_e_matchtype&ds_e_device=c&ds_e_network=x&ds_e_product_group_id&ds_e_product_id=en3256808366074196&ds_e_product_merchant_id=5551842492&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id&ds_url_v=2&albcp=20123152476&albag&isSmbAutoCall=false&needSmbHouyi=false&gatewayAdapt=glo2usa,24.27,2.27,No,
"M5 T-Slot Nuts (Drop-in/Hammerhead): 50 units (For all brackets, motors, and PSU).",Aliexpress,https://www.aliexpress.us/item/3256805565115113.html?spm=a2g0o.productlist.main.1.1433A7OeA7OefL&algo_pvid=bfc4d70a-142d-4c58-a969-42bd5b93aff5&algo_exp_id=bfc4d70a-142d-4c58-a969-42bd5b93aff5-0&pdp_ext_f=%7B%22order%22%3A%222522%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.50%212.52%21%21%2130.89%2117.30%21%402101e2b417737152299167524eb4b2%2112000034270508931%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=HGIavtjb7VQU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005751429865%7C_p_origin_prod%3A,2.52,0.23,No,
M6 x 80 Screws,Aliexpress,https://www.aliexpress.us/item/3256807469903873.html?spm=a2g0o.productlist.main.1.310apYzepYzeHu&algo_pvid=10800b64-6ef6-466a-8500-9264d18d8af8&algo_exp_id=10800b64-6ef6-466a-8500-9264d18d8af8-0&pdp_ext_f=%7B%22order%22%3A%22628%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.53%212.42%21%21%2117.34%2116.60%21%402101c44f17737161053034185e049f%2112000041675851635%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=X3KIpZyneka5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007656218625%7C_p_origin_prod%3A,3.11,0.28,No,
M5 x 10mm Socket Head Bolts: 50 units (Standard mounting).,Aliexpress,https://www.aliexpress.us/item/2251832782168715.html?spm=a2g0o.productlist.main.4.4cf6TwK5TwK5gl&aem_p4p_detail=202603161949125031557402349240000437662&algo_pvid=ec5ec218-6205-4543-a2df-7b0d91597122&algo_exp_id=ec5ec218-6205-4543-a2df-7b0d91597122-3&pdp_ext_f=%7B%22order%22%3A%2214932%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.15%211.12%21%21%211.15%211.12%21%402101e83017737157526551617e2f60%2112000034561991235%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=ugnpLpwpOdq1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32968483467%7C_p_origin_prod%3A&search_p4p_id=202603161949125031557402349240000437662_1,7.6,0.27,No,
2. Motion Control (Linear Rails & Z-Drive),,,,,,
"MGN12H Linear Rail (250mm): 3 units (2 for Y-axis, 1 for X-axis bridge structure).",Aliexpress,https://www.aliexpress.us/item/2255800576028509.html?spm=a2g0o.productlist.main.13.38e362106r5ME8&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A4000762343261%7C_p_origin_prod%3A&algo_pvid=e646dac7-887f-4cff-b298-e41dc2c32f0a&algo_exp_id=e646dac7-887f-4cff-b298-e41dc2c32f0a&pdp_ext_f=%7B%22order%22%3A%229216%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.03%214.01%21%21%214.03%214.01%21%402101c59117737165594485702e302d%2112000021007222390%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&gatewayAdapt=4itemAdapt,41.67,3.81,No,
MGN12H Linear Rail (300mm): 2 units (For the Z-uprights).,Aliexpress,https://www.aliexpress.us/item/3256808740219943.html?spm=a2g0o.productlist.main.1.3b513114igz2tF&algo_pvid=3bc960a9-5163-482d-8705-54dd5f47df3f&algo_exp_id=3bc960a9-5163-482d-8705-54dd5f47df3f-0&pdp_ext_f=%7B%22order%22%3A%22299%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.71%216.75%21%21%2110.71%216.75%21%402103122117737167856986915e12fc%2112000047230510649%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=fSxPAZbZCmDE&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008926534695%7C_p_origin_prod%3A,30.18,2.76,No,
M3 T-Slot Nuts (Drop-in/Hammerhead): 40 units (For all 5 rails).,Aliexpress,https://www.aliexpress.us/item/3256805565115113.html?spm=a2g0o.productlist.main.1.49fdbV9WbV9Wxn&algo_pvid=3ba4d3eb-b9a5-4e1b-ae6a-33b3c96dfac4&algo_exp_id=3ba4d3eb-b9a5-4e1b-ae6a-33b3c96dfac4-0&pdp_ext_f=%7B%22order%22%3A%222522%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.51%212.52%21%21%2130.89%2117.30%21%40210319b717737168690162828eb2a4%2112000034270508931%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=Ax7HygCoBIc4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005751429865%7C_p_origin_prod%3A,2.69,0.25,No,
M3 x 8mm Socket Head Bolts: 40 units (For all 5 rails).,Aliexpress,https://www.aliexpress.us/item/2251832782168715.html?spm=a2g0o.productlist.main.1.529bDbBDDbBDzl&algo_pvid=63eca242-cd8a-490a-af3c-a98c22574b6d&algo_exp_id=63eca242-cd8a-490a-af3c-a98c22574b6d-0&pdp_ext_f=%7B%22order%22%3A%2214932%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.15%211.12%21%21%211.15%211.12%21%402103274e17737172057984720e273b%2112000034561991235%21sea%21US%213031952535%21X%211%210%21n_tag%3A-29919%3Bd%3Aee6b2086%3Bm03_new_user%3A-29895&curPageLogUid=tL94CNvnUdiY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32968483467%7C_p_origin_prod%3A,1.55,0.14,No,
